名称,公式,A,B,C,D,E,小数
rb2101_2105,A-B,rb2101.SHFE,rb2105.SHFE,,,,2
rb2101_2110,A-B,rb2101.SHFE,rb2110.SHFE,,,,2
rb2105_2110,A-B,rb2105.SHFE,rb2110.SHFE,,,,2
au2012_2102,A-B,au2012.SHFE,au2102.SHFE,,,,2
au2012_2104,A-B,au2012.SHFE,au2104.SHFE,,,,2
au2102_2104,A-B,au2102.SHFE,au2104.SHFE,,,,2
m2101_2105,A-B,m2101.DCE,m2105.DCE,,,,2
m2101_2109,A-B,m2101.DCE,m2109.DCE,,,,2
m2105_2109,A-B,m2105.DCE,m2109.DCE,,,,2
i2101_2105,A-B,i2101.DCE,i2105.DCE,,,,2
i2101_2109,A-B,i2101.DCE,i2109.DCE,,,,2
i2105_2109,A-B,i2105.DCE,i2109.DCE,,,,2
